,nro_conabip,fecha_fundacion,id_depto
0,938,1922,6854
1,200,1980,6588
2,1554,1925,6021
3,90,1918,6028
4,3950,1980,6427
5,3824,1919,6035
6,3587,1980,6056
7,4155,1980,6056
8,2490,1943,6098
9,1478,1926,6105
10,2135,1940,6021
11,3631,1994,6217
12,167,1917,6245
13,3452,1980,6260
14,2824,1961,6351
15,3922,2000,6351
16,2697,1911,6357
17,4280,2011,6385
18,3715,1980,6399
19,4228,1980,6427
20,3921,2000,6427
21,1880,1930,6427
22,3313,1950,6441
23,4171,1980,6441
24,4376,2007,6441
25,1684,1932,6469
26,2729,1958,6469
27,3442,1980,6469
28,3243,1986,6028
29,2673,1954,6560
30,2243,1916,6560
31,4040,2001,6560
32,3012,1964,6568
33,3901,1997,6568
34,2209,1941,6655
35,4205,2001,6672
36,3697,1980,6679
37,3628,1980,6371
38,2691,1947,6763
39,2863,1969,6805
40,3383,1994,6833
41,2107,1939,6847
42,749,1916,10035
43,3701,1980,10035
44,3712,1980,10049
45,3654,1997,10098
46,3554,1980,10112
47,3310,1981,22039
48,3344,1980,22105
49,3671,1980,22028
50,3675,1980,22084
51,3555,1981,22098
52,2608,1951,22140
53,3534,1984,22140
54,4047,2001,26014
55,1131,1907,2000
56,1991,1929,2000
57,3982,1980,2000
58,32,1910,2000
59,2768,1959,14007
60,3723,1980,14042
61,3031,1984,14042
62,2162,1938,14042
63,567,1904,14042
64,3958,2001,14084
65,1071,1923,14091
66,3597,1980,14105
67,1824,1934,14140
68,4026,1999,14147
69,494,0,18021
70,3826,1980,18021
71,502,1914,18063
72,3472,1995,18063
73,522,1914,18161
74,4077,2002,18077
75,381,1904,30008
76,4355,2007,30028
77,3401,1980,30070
78,3290,1980,30077
79,364,0,30091
80,4388,2021,30098
81,383,0,30113
82,2974,1978,34056
83,3721,1997,38007
84,4300,2005,42007
85,3617,1998,42035
86,883,1923,42077
87,3565,1980,42133
88,3177,1980,42133
89,1775,1927,46021
90,1805,1934,46021
91,665,1914,50021
92,689,1980,50098
93,3212,1992,50105
94,3461,1980,54049
95,3324,1980,54056
96,4128,1980,54084
97,3091,1980,58042
98,3536,1996,58035
99,3642,1997,58035
100,3145,1980,58035
101,4152,1980,58035
102,4273,2006,58056
103,827,1916,58112
104,4023,1999,62021
105,1464,1930,62063
106,3822,1997,66028
107,3938,1999,66035
108,3695,1980,66105
109,3286,1980,66112
110,3294,1994,70028
111,4390,2022,70042
112,2620,1954,70049
113,702,1908,70056
114,3108,1935,70077
115,4063,2001,70091
116,599,1910,74007
117,3268,1963,74014
118,4036,2001,74021
119,3524,1994,78021
120,2927,1939,82021
121,1654,1931,82021
122,475,1918,82028
123,419,1919,82028
124,2831,1943,82056
125,1083,1925,82063
126,2384,1945,82063
127,4381,2018,82070
128,1800,1932,82084
129,2094,1928,82084
130,4191,1980,82084
131,3820,1998,82091
132,2946,1975,82126
133,4044,1980,82063
134,4174,2004,82014
135,3451,1980,82133
136,1264,1927,86035
137,1662,1930,86049
138,3533,1980,86049
139,640,1921,90035
140,2159,1919,6070
141,1280,1924,6091
142,222,1920,6210
143,3571,1994,6182
144,3591,1991,6203
145,4357,1993,6270
146,276,1980,6308
147,2789,1944,6315
148,174,1914,6329
149,4125,1980,6420
150,1973,1927,6441
151,2436,1944,6441
152,249,1920,6441
153,2713,1945,6434
154,3448,1994,6434
155,279,1918,6476
156,173,1900,6490
157,4115,2002,6490
158,3668,1998,6515
159,3303,1991,6539
160,4336,2008,6560
161,1391,1929,6560
162,4176,1980,6595
163,3939,1999,6595
164,1246,1927,6602
165,215,1910,6609
166,213,1900,6623
167,4311,2011,6658
168,233,1901,6714
169,3790,1980,6749
170,3866,1980,6756
171,3473,1945,6371
172,238,1916,6791
173,4230,1980,6791
174,4319,2008,6805
175,4216,2003,6805
176,2928,1975,6861
177,3747,1980,10035
178,3439,1960,22098
179,3446,1980,22140
180,3277,1980,26007
181,3378,1980,26077
182,4266,2005,2000
183,2916,1941,2000
184,4207,1980,2000
185,4309,2007,14014
186,3665,1980,14021
187,2406,1942,14042
188,3595,1997,14056
189,3139,1980,14063
190,3629,1997,14091
191,588,1915,14098
192,584,1918,14098
193,4312,2006,14021
194,3702,1980,14119
195,2534,1950,14119
196,3990,1990,14140
197,581,1918,14140
198,1647,1932,14147
199,4264,2007,18070
200,523,1918,18175
201,3441,1995,30077
202,4111,1980,30084
203,4078,2003,30088
204,886,1919,30098
205,3180,1992,34021
206,2976,1978,34035
207,3263,1980,38042
208,4124,1980,42021
209,4345,2014,42021
210,808,1912,42105
211,3531,1996,42119
212,2457,1950,42126
213,1556,1931,42147
214,4159,1980,50063
215,676,1919,50105
216,4099,1980,50105
217,4018,1980,50021
218,793,1913,54028
219,3295,1994,58035
220,3137,1990,58035
221,3319,1994,58035
222,4113,2001,58035
223,3106,1987,58056
224,3129,1980,58084
225,832,1918,62014
226,2906,1970,62042
227,3388,1994,62042
228,3758,1980,66021
229,3808,1980,66028
230,4364,2012,70021
231,4263,2009,70077
232,2938,1971,70084
233,4354,2009,70112
234,611,1916,74014
235,603,1916,74028
236,3357,1980,74028
237,3488,1995,74056
238,4365,2001,82021
239,4316,2013,82021
240,1399,1929,82028
241,1994,1938,82042
242,469,1930,82042
243,3812,1980,82049
244,414,1920,82056
245,2444,1943,82063
246,2611,1942,82063
247,430,1918,82084
248,4147,1980,82084
249,2690,1944,82084
250,3199,1990,82084
251,4114,2002,82084
252,420,1905,82105
253,1970,1937,82126
254,3274,1994,86035
255,621,0,86049
256,1007,1980,86049
257,3124,1980,86049
258,2854,1964,86147
259,4050,2001,90084
260,3119,1980,90014
261,2260,1917,90056
262,634,1911,90077
263,635,1980,90021
264,3159,1980,90098
265,1850,1933,6588
266,4001,1999,6028
267,3051,1985,6035
268,3718,1980,6070
269,2082,1944,6098
270,1857,1926,6112
271,4142,1980,6112
272,4334,2002,6182
273,3499,1980,6274
274,3891,1999,6274
275,3767,1997,6280
276,4069,2000,6399
277,3574,1992,6420
278,3910,1980,6420
279,2880,1963,6427
280,3762,1999,6427
281,165,1918,6441
282,2098,1929,6441
283,3865,1980,6490
284,3754,1980,6490
285,197,1980,6581
286,3552,1980,6581
287,236,1916,6700
288,223,0,6756
289,3690,1980,6756
290,1194,1919,6791
291,966,1917,6819
292,3526,1980,10042
293,3660,1997,10049
294,3457,1980,22084
295,3316,1993,26021
296,3041,1939,26042
297,3584,1980,26105
298,1943,1924,2000
299,4347,2013,14007
300,3769,1998,14007
301,3042,1980,14014
302,3218,1988,14014
303,3845,1999,14014
304,4028,1980,14014
305,2021,1937,14035
306,4016,2000,14091
307,864,1980,14119
308,528,1907,14182
309,1373,1911,18042
310,2595,1940,18105
311,3482,1996,30008
312,334,1980,30021
313,338,0,30028
314,3330,1980,34014
315,3495,1980,34014
316,4236,1999,34021
317,3207,1980,34049
318,3713,1997,38021
319,3575,1980,38063
320,3227,1980,38070
321,4163,1980,38084
322,2317,1980,42021
323,3382,1980,42056
324,1499,1929,42056
325,2316,1946,42035
326,2687,1956,46014
327,4382,2009,50028
328,4394,2021,54021
329,2939,1975,54028
330,3544,1996,54063
331,3756,1997,58014
332,3092,1987,58035
333,3354,1994,58035
334,3222,1993,58035
335,3764,1980,58056
336,830,1906,62007
337,2922,1974,62042
338,753,0,66140
339,3609,1980,66147
340,4327,1981,70077
341,3998,1980,70077
342,4027,1997,70028
343,4279,2003,70028
344,3444,1980,74021
345,3056,1992,74049
346,3358,1980,74056
347,3567,1996,78049
348,1936,1934,82007
349,4074,1998,82028
350,2182,1943,82028
351,973,1920,82056
352,4377,2008,82070
353,4038,1983,82098
354,2631,1932,82126
355,3174,1987,86035
356,4091,2001,86035
357,1204,1926,86049
358,616,1908,86063
359,1179,1922,86077
360,1863,1980,86147
361,4328,2012,86161
362,3989,1980,90014
363,661,1926,90056
364,2814,1959,90105
365,2870,1969,6028
366,217,1921,6035
367,111,1918,6049
368,3795,1996,6056
369,2871,1963,6056
370,1021,1923,6063
371,3801,1972,6105
372,101,1915,6203
373,1673,1932,6252
374,2501,1939,6385
375,3786,1960,6441
376,3877,1993,6441
377,4288,2011,6441
378,1920,1936,6441
379,122,1920,6483
380,4121,2003,6490
381,1257,1926,6497
382,2662,1950,6547
383,3315,1980,6553
384,201,1904,6595
385,4222,1988,6651
386,3984,1980,6091
387,2554,1951,6665
388,3829,1932,6686
389,230,2006,6735
390,4393,2022,6371
391,3262,1980,6819
392,1019,1921,6861
393,3254,1982,6875
394,2958,1965,10063
395,2967,1980,10112
396,4105,2004,22014
397,2999,1980,22014
398,3543,1961,22140
399,3711,1980,26007
400,3244,1987,26077
401,3632,1980,26077
402,3685,1992,26077
403,2453,1949,26098
404,2233,1929,2000
405,3905,1990,14014
406,4285,2009,14091
407,547,1912,14021
408,4203,1980,14021
409,4037,1984,14035
410,1872,1933,14049
411,549,1913,14084
412,2148,1938,14091
413,4042,2001,14119
414,2936,1976,14161
415,4378,2018,30021
416,4396,1940,30035
417,3798,1998,30063
418,3608,1986,30077
419,3955,1999,34049
420,4275,2004,38021
421,3251,1980,42007
422,3181,1980,42035
423,1646,1932,42035
424,3563,1995,42070
425,2786,1958,42077
426,811,1910,42133
427,1345,1980,46014
428,4085,2001,50028
429,3625,1980,50049
430,3750,1980,50098
431,4095,2003,50126
432,824,1980,58042
433,3100,1989,58035
434,3919,1993,58035
435,826,1917,58056
436,3833,1998,58112
437,3206,1980,62014
438,3068,1985,62014
439,1701,1932,62021
440,3964,1986,62021
441,3967,1980,62035
442,2114,1936,62042
443,4375,1998,66028
444,3791,1997,66028
445,1366,1928,66049
446,3759,1998,66056
447,3385,1995,66126
448,4035,2001,66133
449,713,1918,70035
450,3693,1966,70077
451,2152,1940,70084
452,3112,1988,70091
453,1898,1935,70105
454,3988,1980,70133
455,3411,1980,74042
456,4215,2007,74035
457,3350,1994,74049
458,3500,1980,78014
459,3259,1980,78035
460,2189,1939,82014
461,2601,1953,82021
462,2722,1957,82021
463,3513,1996,82021
464,2997,1974,82021
465,4291,2010,82021
466,3032,1963,82028
467,2256,1944,82028
468,3957,2000,82035
469,1319,1928,82042
470,2276,1945,82042
471,488,1917,82042
472,3934,1976,82063
473,4302,2009,82063
474,4308,2010,82063
475,4206,1980,82070
476,3006,1979,82084
477,4257,2006,82084
478,460,1910,82091
479,417,1912,82105
480,4356,2014,82105
481,476,1919,82105
482,4353,2006,82112
483,876,1919,82126
484,4029,1980,82021
485,3489,1980,86049
486,4333,2011,90084
487,1062,1925,6014
488,3692,1995,6098
489,2318,1947,6098
490,93,1911,6105
491,1676,1932,6119
492,4289,2009,6147
493,1883,1920,6175
494,3364,1980,6182
495,4242,2004,6274
496,3724,1961,6392
497,3925,2000,6399
498,4066,1999,6441
499,150,1917,6434
500,3979,1980,6490
501,3785,1998,6515
502,3999,2000,6539
503,2324,1945,6560
504,4274,1999,6560
505,3889,1980,6595
506,1743,1926,6623
507,898,1922,6638
508,4156,1980,6658
509,287,1914,6371
510,3075,1984,6791
511,3173,1980,6798
512,1388,1930,6833
513,1028,1921,6840
514,2711,1925,6840
515,4210,2008,6861
516,1020,1921,10077
517,4272,2007,10084
518,3507,1991,22105
519,3548,1980,22056
520,3535,1970,22140
521,3670,1980,22140
522,3037,1980,26014
523,4249,2007,26035
524,4252,2004,2000
525,1344,1928,2000
526,77,1918,2000
527,2257,1944,14014
528,4383,2009,14021
529,2924,1942,14021
530,582,1919,14042
531,1403,1929,14049
532,3592,1980,14063
533,1756,1929,14098
534,1500,1930,14098
535,3729,1980,14098
536,2006,1935,14133
537,2008,1932,14140
538,3576,1997,14140
539,1837,1931,14182
540,3317,1994,18021
541,3337,1980,18021
542,1913,1915,18049
543,511,1904,18119
544,341,0,30056
545,3516,1996,34049
546,3462,1915,38007
547,913,1922,38035
548,3985,1980,38042
549,3215,1980,42007
550,1990,1914,42007
551,3279,1980,42014
552,3309,1980,42077
553,1555,1931,42105
554,2355,1948,42133
555,3308,1990,42154
556,3347,1980,42154
557,3962,2001,46042
558,723,1908,46063
559,3932,1999,50007
560,2188,1940,50014
561,3947,1980,50035
562,3720,1996,50049
563,4183,1980,50070
564,3613,1995,50070
565,1276,1926,50105
566,3234,1987,50119
567,3210,1993,58007
568,3220,1993,58035
569,3646,1997,58035
570,3087,1980,58077
571,3081,1980,62042
572,3466,1980,62042
573,3141,1980,62042
574,1885,1935,62042
575,3996,1999,66007
576,752,1910,66035
577,2574,1944,66049
578,700,1910,70028
579,1887,1935,70028
580,3223,1988,70084
581,3637,1997,70098
582,4141,1980,70098
583,3356,1980,74021
584,3594,1980,74049
585,4369,2017,74049
586,3396,1980,74056
587,1426,1927,78014
588,3512,1980,78021
589,4361,2014,82077
590,1599,1932,82014
591,2905,1957,82014
592,2339,1937,82042
593,2867,1966,82049
594,2913,1973,82056
595,487,1912,82063
596,2698,1980,82063
597,945,1922,82070
598,4234,2006,82070
599,2811,1935,82070
600,4220,2007,82084
601,982,1922,82084
602,4082,2002,82084
603,4321,2012,82091
604,489,1918,82119
605,3975,1997,86014
606,3699,1980,86021
607,2456,1946,86035
608,3566,1996,86049
609,3920,1980,86049
610,2597,1953,94007
611,2418,1949,90070
612,3116,1987,90070
613,4303,2012,90070
614,651,1912,90112
615,3841,1999,6028
616,83,0,6049
617,2068,1939,6049
618,1469,0,6070
619,2473,1949,6098
620,2191,1943,6112
621,105,0,6224
622,2225,1932,6196
623,3894,1969,6203
624,118,1945,6238
625,2843,1964,6260
626,3522,1995,6274
627,3476,1994,6357
628,3196,1991,6392
629,4389,2022,6413
630,1747,1927,6441
631,1830,1903,6441
632,2127,1941,6441
633,2323,1945,6441
634,2644,1954,6441
635,3211,1980,6441
636,2872,1961,6462
637,168,1914,6497
638,2931,1975,6515
639,4151,1980,6515
640,4073,1980,6371
641,3906,1999,6791
642,4132,1980,6791
643,3318,1992,6805
644,2405,1937,6826
645,3267,1993,6833
646,2040,1939,6875
647,1045,1924,10035
648,3541,1980,10056
649,2907,1980,22063
650,3450,1980,22140
651,2198,1942,22140
652,2686,1925,22140
653,3281,1980,22140
654,3453,1987,22140
655,3959,1980,26014
656,3256,1980,26077
657,2551,1911,26091
658,4268,2010,2000
659,1793,1932,2000
660,2014,1936,2000
661,28,1916,2000
662,3572,1986,14014
663,4322,2010,14014
664,4290,2010,14021
665,539,1917,14028
666,543,1916,14042
667,3782,1999,14056
668,4014,1980,14063
669,3915,1996,14063
670,2851,1932,14098
671,4395,2011,14126
672,3666,1980,14140
673,3748,1980,14140
674,4101,1980,14147
675,3763,1998,14147
676,4126,1980,14098
677,3298,1980,18021
678,501,1911,18070
679,4380,2015,18070
680,4239,1997,30008
681,392,1917,30015
682,4350,2001,30084
683,3636,1997,34014
684,3269,1993,34049
685,3627,1996,38014
686,3682,1980,38063
687,3275,1993,38070
688,3386,1995,42021
689,4287,2000,42056
690,3250,1984,42070
691,3618,1980,42084
692,3186,1987,42126
693,1766,1932,42126
694,719,1914,46014
695,3550,1980,50035
696,3995,2000,54014
697,3777,1980,54028
698,2561,1946,54091
699,4079,2002,54091
700,2747,1958,58035
701,3160,1980,58035
702,3023,1983,58049
703,967,1980,62014
704,2603,1932,62042
705,4261,2004,62042
706,3708,1995,66028
707,3953,1999,66028
708,4108,2004,66028
709,760,1916,66112
710,3965,1980,66056
711,704,0,70028
712,4094,1980,70028
713,4064,1991,70077
714,709,1916,70091
715,3425,1980,74028
716,987,1937,74035
717,608,1915,74049
718,3367,1980,78014
719,4046,1999,78014
720,3261,1994,78021
721,2136,1935,82007
722,1188,1998,82021
723,4045,2000,82028
724,3741,1997,82049
725,1145,1924,82056
726,3558,1996,82063
727,440,0,82084
728,3980,2000,82084
729,1152,1917,82119
730,3013,1979,82126
731,1838,1934,82126
732,2311,1945,86035
733,2252,1943,86042
734,4200,1980,86049
735,2813,1962,86147
736,3340,1980,94007
737,2130,1935,90084
738,4158,1980,90119
739,4192,1980,6035
740,4256,2006,6056
741,3045,1984,6147
742,3483,1982,6189
743,3836,1980,6357
744,4349,2014,6357
745,3913,1999,6427
746,4021,2001,6434
747,3431,1980,6434
748,2134,1940,6448
749,175,1912,6483
750,3805,1980,6547
751,2646,1952,6609
752,1633,1931,6609
753,4127,1980,6714
754,4031,2001,6749
755,4178,1980,6371
756,3728,1980,6371
757,914,1922,6882
758,729,0,10021
759,2991,1979,10063
760,2850,1980,10070
761,3653,1980,10070
762,862,1918,10084
763,2297,1945,22084
764,3353,1967,22119
765,3674,1980,22133
766,4006,2001,2000
767,62,1980,2000
768,4243,1980,14014
769,2424,1949,14063
770,2197,1939,14063
771,4283,2010,14091
772,3011,1966,14098
773,3623,1973,14140
774,4362,2016,14147
775,3731,1980,14175
776,586,1917,14182
777,3813,1998,18021
778,4224,1980,18112
779,4240,2000,30056
780,4164,1980,30098
781,3780,1980,34049
782,4098,2002,38021
783,771,1911,38063
784,3231,1993,42119
785,3480,1995,42126
786,4370,2003,46014
787,726,1914,46049
788,4246,2005,50091
789,3981,1998,50105
790,1576,1932,50105
791,3755,1997,54070
792,3395,1994,54077
793,3374,1980,54084
794,4247,2004,54112
795,4123,2002,58035
796,4269,2003,58035
797,3581,1985,58077
798,3097,1980,58077
799,4229,2000,58098
800,3095,1985,58105
801,3150,1990,62007
802,3147,1980,62014
803,3326,1990,62021
804,1695,1932,62042
805,3941,1980,62070
806,3914,1980,66084
807,3868,1999,66028
808,1828,1934,66056
809,1825,1933,66056
810,4004,1980,66154
811,1510,1918,70028
812,3490,1993,70084
813,3706,1996,70119
814,595,1914,74035
815,2639,1954,74056
816,2254,1937,82021
817,481,1920,82028
818,2945,1925,82042
819,1952,1937,82042
820,2178,1943,82056
821,3873,1998,82070
822,1063,1922,82084
823,1259,1927,82084
824,2449,1910,82084
825,4012,2001,82084
826,3911,2000,82091
827,1924,1933,82091
828,4157,1980,82098
829,3155,1981,82098
830,906,1922,82105
831,1119,1924,82126
832,3030,1980,82133
833,4231,2007,82133
834,3239,1993,94007
835,1180,1926,94014
836,3291,1909,90098
837,88,1912,6007
838,4260,2007,6028
839,911,1922,6035
840,2841,1966,6056
841,4166,1980,6119
842,4024,2002,6119
843,1002,1923,6140
844,3189,1986,6217
845,3890,1997,6217
846,123,1920,6274
847,2914,1944,6322
848,3292,1974,6336
849,3730,1998,6427
850,87,1916,6462
851,177,0,6469
852,4219,2008,6505
853,4134,1980,6560
854,2804,1958,6560
855,1977,1933,6623
856,2887,1970,6644
857,2158,1930,6651
858,3969,2000,6658
859,2115,1940,6742
860,4071,1980,6371
861,1228,1927,6770
862,240,1908,6791
863,4120,2001,6819
864,4193,1946,6840
865,3880,1999,6861
866,2954,1975,6868
867,3017,1979,10063
868,3325,1940,22105
869,3491,1980,22043
870,3612,1980,22084
871,3437,1980,22140
872,3460,1981,22154
873,4339,2011,26007
874,3202,1991,26077
875,3355,1980,26077
876,3835,1996,26077
877,3414,1980,26084
878,1187,1920,2000
879,3270,1994,2000
880,3789,1980,14014
881,4398,2022,14035
882,2858,1918,14063
883,3055,1985,14091
884,4343,2001,14140
885,3520,1996,14161
886,873,1919,14161
887,3258,1980,18021
888,3346,1980,18021
889,1530,1909,18105
890,4189,1980,30015
891,382,1912,30035
892,342,0,30049
893,3976,2000,38007
894,3237,1980,38042
895,1198,1926,38056
896,1260,1910,38094
897,1945,1937,42105
898,816,1911,42119
899,3171,1979,42133
900,3209,1992,50007
901,4314,2011,50028
902,3497,1980,50028
903,3264,1980,50028
904,4315,1996,50063
905,3282,1993,50105
906,3501,1990,54014
907,4258,2001,54028
908,4363,2015,54063
909,3875,1980,54091
910,3332,1993,58035
911,4052,2002,58035
912,4162,2004,58035
913,3161,1980,58035
914,4130,1980,62007
915,4235,2004,62007
916,1303,1928,62021
917,3601,1997,62021
918,3361,1980,62042
919,4149,1980,62042
920,4153,1980,62042
921,3105,1987,62042
922,4374,2006,62077
923,3372,1992,66007
924,4385,2022,66084
925,3991,1980,66028
926,2849,1963,66119
927,3133,1990,70028
928,3109,1987,70028
929,3933,1980,74028
930,3273,1996,74028
931,3221,1993,74021
932,4055,1997,74035
933,3188,1980,74035
934,3230,1993,74056
935,3583,1980,78014
936,3407,1994,78021
937,2760,1953,82014
938,411,1908,82014
939,2941,1980,82021
940,467,1980,82028
941,1749,1980,82035
942,2942,1976,82042
943,1041,1924,82119
944,4070,2002,82056
945,2885,1969,82070
946,4226,2003,82070
947,461,1911,82070
948,470,1917,82084
949,3528,1976,82084
950,3892,1995,82084
951,413,1910,82091
952,2187,1935,82091
953,3948,2000,82091
954,3570,1977,82119
955,4223,2008,82126
956,4209,2008,86049
957,2763,1940,86035
958,3827,1980,86035
959,2262,1942,86049
960,2578,1940,86049
961,3164,1988,86049
962,4057,1936,86049
963,4225,1980,86049
964,3562,1980,86126
965,3598,1980,86098
966,3694,1980,86126
967,3335,1992,86140
968,4386,2022,90084
969,644,1903,90084
970,3539,1988,90014
971,1799,1929,90070
972,2543,1940,6035
